fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year_x,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido,day,month,year_y,region,titulo,subtitular,contraportada,id
2022-02-04,3.0,0.0,20.0,950.0,47.5,2.67,3.0,2.25,3.0,0.0,0.0,4.86,1.0,0.0,0.0,0.0,3.5,0.0,3.0,2.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,97506.0,95126.0,6874.0,88252.0,Saturday,April,2022.0,nacional,lobos del aire,drones de la policia han contribuido a la captura de criminales,internacional,040222nacional
2022-02-05,3.8,2.6,25.0,1396.0,56.06,3.58,3.5,2.93,3.3,0.0,0.4,3.88,1.5,0.0,0.4,1.6,2.33,0.4,6.0,2.4,3.2,1.4,0.0,0.2,6.6,1.8,0.0,0.2,0.6,2.6,2022.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,16.0,97256.0,93422.0,8161.0,85261.0,Monday,May,2022.0,nacional,casa del terror,hombre toca a la puerta y dispara contra familia nina muere en su cama,publicidad externa,050222nacional
2022-02-06,4.0,2.0,23.0,1320.0,57.39,2.8,3.0,5.0,4.5,0.0,0.0,4.29,1.5,0.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,101380.0,99543.0,7789.0,91754.0,Thursday,June,2022.0,nacional,agatha destruye de nuevo,efectos de la tormenta y primeras lluvias destrozan 47 carreteras 5 puentes y dejan 11 muertos,internacional,060222nacional
2022-02-07,3.0,2.0,31.0,1475.0,47.58,1.8,3.5,1.25,5.0,0.0,1.5,3.44,2.0,0.0,0.0,4.5,0.5,1.0,5.0,2.0,4.0,2.0,1.0,2.0,9.0,2.0,0.0,0.0,2.0,2.0,2022.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,104976.0,102597.0,7545.0,95052.0,Saturday,July,2022.0,nacional,charquito y chispita mueren estrangulados,"en medio de amenazas por atentar en los velorios, familiares despiden a artistas y piden justicia para esclarecer el caso",deporte,070222nacional
2022-02-08,4.0,1.0,20.0,1050.0,52.5,2.2,4.0,2.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.5,1.0,5.0,1.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,2022.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,99321.0,96933.0,9523.0,87410.0,Tuesday,August,2022.0,nacional,asesinados de seis tiros en la espalda,el cuerpo de una joven de 17 años aparecio en un camino de terraceria con impactos de bala,deporte,080222nacional
2022-02-09,3.0,3.0,24.0,1310.0,54.58,3.2,3.5,2.75,4.0,0.0,0.0,5.56,1.5,0.0,0.0,0.0,3.0,0.0,5.0,2.0,4.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,2022.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,96893.0,94475.0,13782.0,80693.0,Friday,September,2022.0,nacional,van 577 mujeres asesinadas en 2022,mp reporta mas casos que el año pasado,deporte,090222nacional
2022-02-10,0.0,0.0,1.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,98473.0,96080.0,10067.0,86013.0,Sunday,October,2022.0,nacional,lloran a madre e hija,familiares vecinos y comerciantes dijeron hasta pronto a victimas que con todo y carro fueron tragadas por la tierra en villa nueva,modelo,100222nacional
2022-02-11,2.0,1.0,14.0,790.0,56.43,3.5,4.0,3.0,2.0,0.0,0.0,4.6,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,98104.0,93903.0,7983.0,85920.0,Wednesday,November,2022.0,nacional,formacion en carrera de las ánimas,mas de 40 jinetes recorrieron la pista ubicada en el campo ken shinaj,deporte,110222nacional
2022-02-12,3.6,2.4,25.8,1478.0,57.32,3.29,3.33,2.73,2.9,0.0,0.0,4.09,1.5,0.4,0.4,0.8,2.0,0.8,6.4,2.6,3.6,1.6,0.0,0.0,7.2,1.8,0.2,0.2,0.2,2.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,96334.0,94427.0,8040.0,86387.0,Friday,December,2022.0,nacional,explotan cajero automatico,criminales estallan granada para intentar sustraer dinero pero no logran su objetivo,deporte,120222nacional
2022-02-13,3.0,2.0,25.0,1170.0,46.8,2.2,3.0,4.33,3.5,0.0,0.0,4.11,1.5,0.0,0.0,0.0,0.5,1.0,5.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,99280.0,97418.0,8123.0,89295.0,,,,,,,,
