id,titulo,subtitular
013122norte,reparan carreteras,maquinaria ya trabaja en rutas hacia el casco urbano en san francisco
013122oriente,caen por la minima,gallos de zacapa tellioz sufren derrota 1 0 ante chimaltenango
013122guate,llegan a golear,juventud pinulteca se lleva el triunfo frente a aurora fc de la primera division en su visita al estadio cementos progreso
020122nacional,arde trailer,chofer se salva de siniestro en el km 222 concepcion las minas chiquimula
020122occidente,cierran consulta al hospital,brote de coronavirus obliga a tomar medida en san marcos
020122centro,estrenan calle,inauguran empedrado y anuncian cambio de via en la 5a avenida sur de la antigua guatemala
020122sur,picop se atraviesa,conductor y acompanante herdios por choque en pueblo nuevo la blanca
020122norte,ya tienen agua,mas de 500 familias beneficiadas en aldea la ceiba sayaxhe
020122oriente,cae por extorsion,capturan en olopa chiquimula a timoteo valdez acusado por tres delitos
020122guate,fuego deja perdidas,cuerpos de socorro sofocaron incendio en predio de vehiculos de carga ubicado en el km 14 de la ruta al atlantico
020222nacional,baleado sin piedad,crimen ocurrido en parada de bus en san miguel petapa
020222occidente,senalan anomalias,empleados exigen que aumento salarial sea para todo el personal en la comuna de san marcos
020222centro,cancelan procesiones,templo santa ana de la antigua guatemala suspende cortejo del 17 y 27 de marzo proximo
020222sur,internan a mas contagiados,area de covid 19 del hospital la montana en el malacatan tiene 14 pacientes el 1 de enero no habia ninguno
020222norte,previenen a turistas,el mp pide denunciar abusos contra visitantes en la fiscalia especial en la isla de flores
020222oriente,perece arrollado,jose hernandez se cayo de banqueta cuando trailer pasaba en san sebastian esquipulas
020222guate,quedan heridos,desconocidos disparan contra hombres que ingerian bebidas en calle del asentamiento las torres zona 7 capitalina
020322nacional,el clasico es rojo,matias rotondi con doblete derrota a los cremas
020322occidente,gallos sacan las espuelas,san pedro domina juego contra plataneros en la blanca
020322centro,rebasa capacidad,fosa septica colapsa en santa catarina barahona y aguas residuales afectan a vecinos
020322sur,duelo defensivo,coatepeque empata 0 0 en el israel barrios antes marquense por la fecha 4 de clausura
020322norte,tendran agua,mas de 18 mil vecinos veran proximamente el servicio en sus hogares en los amates
020322oriente,escasea el agua,penas de vecinos de santa rita guastatoya suman cuatro dias
020322guate,vivio de milagro,conductor pierde el control de su vehiculo y vuelca en el anillo periferico en la zona 11
020422nacional,crimen en la terminal,joven caminaba con su hermana en el sector de las gradas
020422occidente,pavimentan camino,via que lleva a parque ecologico estuvo abandonada por 30 anos en esquipulas palo gordo
020422centro,drenaran agua,instalan tubos para evitar inundaciones durante el invierno en la alameda chimaltenango
020422sur,arrollado por auto,hombre herido de gravedad estaba de visita en zona 3 de colombia
020422norte,reubican a vendedores,se instalan afuera del mercado y habilitan mas parqueos en los amates
020422oriente,danan tuberias,desconocidos afectan distribucion de agua para sector hotelero de esquipulas
020422guate,fiel hasta el final,dona ofelia y su mascota mueren calcinados en la habitacion en donde vivian en la colonia los angeles zona 1
