id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
020922nacional,09/02/2022,Wednesday,February,2022,nacional,4 muertos en choque,camionero rebasaba y embiste a tuctuc en chisec alta verapaz,4,0,2,0,2,0,0,0,0,0,1,modelo,1,4,10,96893,94475,13782,80693
021022nacional,10/02/2022,Thursday,February,2022,nacional,cuidaba carros,mareros querian obligar a raul rodriguez a cobrar extorsion en la capital,3,0,2,0,0,0,1,0,0,0,1,deporte,1,2,12,98473,96080,10067,86013
021122nacional,11/02/2022,Friday,February,2022,nacional,agente muere en vuelco,quedan heridos tres policias en accidente en curva de sacapulas quiche,3,0,2,0,1,0,0,0,0,0,1,modelo,1,4,11,98104,93903,7983,85920
021222nacional,12/02/2022,Saturday,February,2022,nacional,cae banda de asesinos,capturan a 14 extorsionistas en cateos en cinco departamentos,3,0,2,0,0,0,1,0,0,0,1,internacional,1,4,9,96334,94427,8040,86387
021322nacional,13/02/2022,Sunday,February,2022,nacional,de final de futbol a triple crimen,tras quedar campeones matan a dueno de equipo esposa y a jugador en la capital,5,0,3,0,1,1,0,0,0,0,1,modelo,1,7,15,99280,97418,8123,89295
021422nacional,14/02/2022,Monday,February,2022,nacional,asesinado a golpes,ladrones se llevan pertenencias de joven en villa nueva,4,0,2,0,1,1,0,0,0,0,1,publicidad externa,1,3,9,104678,102281,8265,94016
021522nacional,15/02/2022,Tuesday,February,2022,nacional,marco pappa pide perdon,cinco anos de carcel para exfutbolista por reincidencia,3,0,1,0,0,0,2,0,0,0,1,deporte,1,4,8,96817,94401,7453,86948
021622nacional,16/02/2022,Wednesday,February,2022,nacional,regresan en moto a juzgado al hamburguesa luego de intento de fuga capturados sacan de su casa al expresidente hondureno juan orlando hernandez para extraditarlo,-,3,0,1,0,1,0,1,0,0,0,1,deporte,1,25,1,95587,93160,10128,83032
021722nacional,17/02/2022,Thursday,February,2022,nacional,bajada de la muerte,trailer impacta contra seis vehiculos quedan dos fallecidos y trece heridos,2,0,0,0,1,0,1,0,0,0,1,deporte,1,4,11,105772,103251,8979,94272
021822nacional,18/02/2022,Friday,February,2022,nacional,cobraban q7000 por dpi,desarticulan banda que tramitaba documentos falsos para extranjeros que buscaban legalizarse en el pais,3,0,0,0,1,0,2,0,0,0,1,modelo,1,4,14,96839,92626,7133,85493
021922nacional,19/02/2022,Saturday,February,2022,nacional,gasolina por las nubes q35 por galon,precio de los combustibles sigue al alza y pone todo mas caro,3,0,1,0,0,0,2,0,0,0,1,internacional,1,7,12,95611,93709,7839,85870
022022nacional,20/02/2022,Sunday,February,2022,nacional,manana empiezan las clases,este lunes se inicia el ciclo escolar 2022 y solo en 116 municipios del pais serian presenciales enterese hoy de todos los detalles del regreso a las aulas,3,0,0,0,0,0,3,0,0,0,1,modelo,1,4,28,98642,96565,7667,88898
022122nacional,21/02/2022,Monday,February,2022,nacional,mensajero de la muerte,10 meses despues de cumplir condena por homicidio regresa a prision por asesinar a taxista en la capital,4,0,2,0,0,0,1,1,0,0,1,deporte,1,4,18,102993,99848,8016,91832
022222nacional,22/02/2022,Tuesday,February,2022,nacional,accidentado regreso a clases,alumnos de los establecimientos publicos comienzan ciclo escolar entre carencias mala infraestructura y abandono,3,0,0,0,1,1,1,0,0,0,1,internacional,1,4,14,95456,93067,8712,84355
022322nacional,23/02/2022,Wednesday,February,2022,nacional,sube el precio del pan,hasta el frances con frijoles se vuelve un lujo,3,0,0,0,1,1,1,0,0,0,1,internacional,1,5,9,96454,93967,11201,82766
022422nacional,24/02/2022,Thursday,February,2022,nacional,capturan a medico violador,dia violento contra mujeres en menos de 24 horas 5 muertes y 2 victimas de abuso sexual,2,0,0,0,0,0,2,0,0,0,1,internacional,1,4,17,97326,94927,6454,88473
022522nacional,25/02/2022,Friday,February,2022,nacional,estalla la guerra,rusia lanza cientos de misiles y avanza en su invasion a ucrania,3,0,1,0,0,1,0,1,0,0,1,modelo,1,3,12,104648,100127,5975,94152
022622nacional,26/02/2022,Saturday,February,2022,nacional,tres tortillas por un quetzal,el costo del maiz se dispara y el consumidor paga las consecuencias tortillerias adaptan el precio para subsistir en este negocio,3,0,1,0,0,0,1,1,0,0,1,internacional,1,5,21,97364,95434,6590,88844
022722nacional,27/02/2022,Sunday,February,2022,nacional,jubilo en las calles,fieles conmemoran 300 anos de jesus nazareno de la merced como patron de la capital cientos salen a las calles acompanan el recorrido y disfrutan de los sabores y colores de la epoca,4,0,0,0,1,1,1,1,0,0,1,deporte,0,4,33,99693,97824,3661,94163
022822nacional,28/02/2022,Monday,February,2022,nacional,al borde de una guerra nuclear,conozca la destruccion que puede causar este potente armamento,3,0,2,0,0,0,0,1,0,0,1,deporte,0,6,9,105435,103041,2823,100218
030122nacional,01/03/2022,Tuesday,March,2022,nacional,2 chapines bajo fuego ruso,cuentan a nuestro diario como sobrevivieron a los ataques en ucrania,2,0,0,0,0,0,1,1,0,0,1,deporte,1,5,11,101651,99239,17356,81883
030222nacional,02/03/2022,Wednesday,March,2022,nacional,asesinan entre 6 y 9 personas todos los dias,guatemala escuintla chiquimula e izabal son los departamentos con mas muertes violentas,3,0,0,0,1,0,1,1,0,0,1,internacional,1,9,12,97526,95122,11952,83170
030322nacional,03/03/2022,Thursday,March,2022,nacional,venganza entre los herederos lorenzana,pelea de poder de primos del clan causa la muerte del broy en huite,2,0,2,0,0,0,0,0,0,0,1,deporte,1,5,14,104386,101931,7858,94073
030422nacional,04/03/2022,Friday,March,2022,nacional,el ultimo viaje del broy lorenzana,tensa calma se vive en huite zacapa durante las horas funebres de broiner,2,0,0,0,0,0,1,1,0,0,1,deporte,1,6,13,97999,93534,5749,87785
030522nacional,05/03/2022,Saturday,March,2022,nacional,mueren por balas perdidas,fallece medico en escuintla y nino resulta herido en carcha por disparo al aire,3,0,2,0,0,1,0,0,0,0,0,internacional,1,4,14,99654,97789,6655,91134
030622nacional,06/03/2022,Sunday,March,2022,nacional,capturada por muerte de su hijo,despues de la investigacion la policia descubre que ingris picon si golpeo a nino y que el no murio por enfermedad,4,0,0,0,0,0,3,1,0,0,0,deporte,1,6,21,99078,97234,5557,91677
030722nacional,07/03/2022,Monday,March,2022,nacional,carreras de la muerte,competiciones clandestinas y constantes accidentes por imprudencia convierten las calles en zonas de alto riesgo,3,0,1,0,1,0,1,0,0,0,0,deporte,0,4,15,105567,103169,6576,96593
030822nacional,08/03/2022,Tuesday,March,2022,nacional,accidente de pelicula,trailer explota tras choque con vehiculo madre e hija se salvan de morir en escuintla,4,0,0,0,1,0,3,0,0,0,1,nacionales,1,3,15,99981,97597,6796,90801
030922nacional,09/03/2022,Wednesday,March,2022,nacional,guerra en el cielo,polonia dara aviones de caza a ucrania para que se enfrente a rusos,4,0,1,0,0,0,2,1,0,0,0,internacional,1,4,13,97324,94912,8561,86351
031022nacional,10/03/2022,Thursday,March,2022,nacional,jovenes en las garras de las maras,sin importar la edad son reclutados de diversas maneras para entregar un telefono y hasta matar,3,0,1,0,0,0,2,0,0,0,0,deporte,1,7,16,101142,98753,7345,91408
031122nacional,11/03/2022,Friday,March,2022,nacional,acusado de matar a magistrado,despues de 4 anos la policia detiene al huevo por el asesinato del abogado jose arturo sierra gonzalez,4,0,1,0,0,0,3,0,0,0,0,modelo,1,5,18,97579,93130,7073,86057
031222nacional,12/03/2022,Saturday,March,2022,nacional,q150 o publico tu foto,detienen a chantajista que atemorizaba a mujer con revelar sus imagenes en redes sociales,3,0,1,0,0,0,2,0,0,0,0,nacionales,1,5,14,99726,97839,7537,90302
031322nacional,13/03/2022,Sunday,March,2022,nacional,petroleo de donde viene y por que sube o baja su precio,desde la comida hasta los gustitos han subido de precio debido al aumento de su costo,5,0,1,0,0,3,1,0,0,0,0,modelo,1,12,16,99669,97831,7700,90131
031422nacional,14/03/2022,Monday,March,2022,nacional,infierno en la carretera,camion cisterna explota sobre puente en la ruta principal a salama,3,0,2,0,1,0,0,0,0,0,0,publicidad externa,1,4,11,105320,102934,8450,94484
031522nacional,15/03/2022,Tuesday,March,2022,nacional,terror en el colegio,acribillan a estudiantes al salir de clases,3,0,2,0,0,1,0,0,0,0,0,deporte,1,4,7,103008,100613,7711,92902
031622nacional,16/03/2022,Wednesday,March,2022,nacional,pueblos en guerra,batalla entre ixchiguan y tajumulco suma 3 fallecidos y varios heridos,4,0,2,0,0,1,1,0,0,0,0,deporte,1,3,11,96105,93705,12816,80889
031722nacional,17/03/2022,Thursday,March,2022,nacional,no aceptamos su asesinato,despiden a estudiante masacrada,3,0,2,0,0,0,1,0,0,0,0,deporte,1,4,4,100514,98106,10073,88033
031822nacional,18/03/2022,Friday,March,2022,nacional,sobrevive de milagro,salio por zapatos y cuando regresaba su carro quedo prensado entre dos trailers,4,0,1,0,2,0,1,0,0,0,0,deporte,1,3,13,97008,92475,7189,85286
